coder,volume_id,descriptive_title,full_description,n_files,thumbnail,investigator_1_lastname,investigator_1_party_id,sharing_level,funding_listed,comments
sr,275,yes,no,0,no,cordes,798,private,no,duplicate of volume 274
sr,276,no,no,0,no,cordes,798,private,no,TEST
sr,277,yes,no,114,no,savelkouls,2520,private,no,"same title as vol 274 andd 275; First investigator is an Affiliate, not an Authorized Investigator"
sr,278,no,no,22,no,vishton,60,private,no,
sr,279,no,no,17,no,vishton,60,private,no,
sr,280,yes,no,191,no,savelkouls,2520,private,no,"shared files, but private volume; First investigator is an Affiliate, not an Authorized Investigator"
sr,281,no,no,0,no,savelkouls,2520,private,no,"First investigator is an Affiliate, not an Authorized Investigator"
sr,282,no,no,18,no,vishton,60,private,no,
sr,283,no,yes,59,no,needham,118,private,no,
sr,284,yes,no,19,no,tamis-lemonda,11,private,no,
sr,285,no,no,130,no,woods,569,private,no,
sr,286,no,no,9,no,woods,569,private,no,
sr,287,no,no,47,no,woods,569,private,no,
sr,288,yes,yes,1,no,kaufman,440,private,no,
sr,289,yes,yes,1,no,bahrik,376,private,no,
sr,290,yes,yes,39,no,nonaka,1889,private,no,
sr,291,no,no,43,no,needham,118,private,no,"shared files, but private volume"
sr,292,no,yes,289,no,needham,118,private,no,"shared files, but private volume"
sr,293,yes,no,0,no,fox,333,private,no,
sr,294,yes,no,0,no,fox,333,private,no,
sr,295,no,no,500,no,oakes,538,private,no,
sr,296,yes,no,265,no,karasik,32,private,no,"error in inputing age; shared files, but private volume"
sr,297,yes,yes,14,no,nonaka,1889,entire,no,
sr,298,yes,no,1,no,dusing,255,private,no,"shared files, but private volume"
sr,299,yes,no,309,no,scher,2679,private,no,
sr,300,no,no,4,no,raver,368,private,no,
sr,301,yes,no,148,no,berger,2382,private,no,
rog,302,yes,yes,0,no,scherf,252,overview,no,
rog,303,yes,no,4,no,bonawitz,2173,entire,no,Description could be more complete; release level unknown
rog,304,no,no,341,no,susperreguy,2648,private,no,
rog,305,yes,no,118,no,jirout,1197,private,no,
rog,306,yes,no,1629,no,mendelsohn,4829,private,no,
rog,307,yes,no,34,no,newcombe,259,private,no,
rog,308,yes,yes,110,no,weisberg,562,entire,no,
rog,309,no,yes,0,no,hartshorne,2521,private,no,
rog,310,no,yes,0,no,hartshorne,2521,private,no,
rog,311,no,no,0,no,hartshorne,2521,private,no,"volumes 309, 310, 311, 312 are all similar"
rog,312,no,no,0,no,hartshorne,2521,private,no,
rog,313,yes,no,0,no,hartshorne,2521,private,no,
rog,314,yes,no,0,no,hartshorne,2521,private,no,"volumes 313, 314, 315 similar"
rog,315,yes,no,0,no,hartshorne,2521,private,no,
rog,316,yes,no,7,no,hartshorne,2521,private,no,
rog,317,yes,no,13,no,hartshorne,2521,private,no,
rog,318,yes,yes,148,no,hartshorne,2521,private,no,"shared files, but private volume"
rog,319,no,no,12,no,hartshorne,2521,private,no,
rog,320,no,no,23,no,hartshorne,2521,private,no,
rog,321,yes,yes,484,no,ossmy,1526,entire,no,ossmy affiliation has new-york
rog,322,yes,yes,174,no,adolph,5,private,no,
rog,323,yes,yes,16,no,adolph,5,private,no,
rog,324,yes,no,680,yes,norcia,378,entire,yes,
rog,325,yes,yes,1,no,kelty-stephen,672,private,no,
rog,326,yes,yes,1,yes,bahrick,376,entire,no,auto-generated thumbnail frame from video is blank
rog,327,yes,no,14,no,perez-edgar,96,overview,no,
rog,328,no,no,7,no,levental,2740,private,no,TEST
rog,329,no,no,137,no,schieffelin,2289,private,yes,
rog,330,no,yes,90,yes,bergelson,61,entire,yes,
rog,331,no,no,0,no,yamamoto,2518,private,no,
rog,332,no,no,5,no,jaswal,1117,private,no,
rog,333,no,no,0,no,yamamoto,2518,private,no,
rog,334,no,no,104,no,hartshorne,2521,private,no,
rog,335,no,yes,44,no,bergelson,61,entire,yes,
rog,336,yes,yes,1,yes,bahrick,376,entire,no,auto-generated thumbnail frame from video is blank
rog,337,no,no,68,no,weisberg,562,private,no,
rog,338,no,yes,134,no,bergelson,61,entire,yes,
rog,339,yes,yes,993,yes,cole,,entire,yes,
rog,340,yes,yes,567,no,tamis-lemonda,11,private,no,
kzm,341,yes,no,109,no,lillard,318,private,no,"shared files, but private volume"
kzm,342,no,no,23,no,needham,118,private,no,
kzm,343,no,no,20,no,thorson,2924,private,no,
kzm,344,no,no,10,no,west,2810,private,no,
kzm,345,no,no,20,no,west,2810,private,no,
kzm,346,no,no,9,no,needham,118,private,no,"shared files, but private volume"
kzm,347,no,no,5,no,jaswal,1117,private,no,
kzm,348,yes,no,32,no,jaswal,1117,private,no,error in age calculation
kzm,349,no,no,79,no,jaswal,1117,private,no,
kzm,350,yes,no,54,no,adolph,5,private,no,
kzm,351,yes,no,20,no,kukke,,entire,no,
kzm,352,no,no,3,no,gunderson,725,private,no,
rog,353,no,no,120,no,darling,619,private,yes,
rog,354,no,no,0,no,shrout,2396,private,no,
rog,355,yes,yes,67,no,shrout,2396,private,no,
rog,356,yes,no,15,no,west,2810,private,no,
rog,357,yes,yes,25,no,kibbe,2400,entire,no,
rog,358,no,no,0,no,warlaumont,477,private,no,
rog,359,yes,yes,434,no,weisberg,562,entire,no,
rog,360,no,no,1,no,jaswal,1117,private,no,
rog,361,no,no,0,no,jaswal,1117,private,no,practice volume
rog,362,no,no,0,no,jaswal,1117,private,no,practice volume
rog,363,no,no,0,no,jaswal,1117,private,no,practice volume
rog,364,no,no,0,no,jaswal,1117,private,no,practice volume; Volume 361-364 are identical
rog,365,yes,yes,7,no,seisler,,overview,no,
rog,366,no,no,763,no,oakes,538,private,no,
rog,367,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,368,no,yes,146,no,van reet,2831,private,no,
rog,369,yes,no,0,no,petitto,286,private,no,
rog,370,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,371,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,372,yes,no,3,no,jaswal,1117,private,no,
rog,373,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,374,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,375,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,376,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,377,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,378,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,379,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,380,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,381,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,382,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,383,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,384,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,385,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,386,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,387,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,388,no,no,137,no,jaswal,1117,private,no,
rog,389,no,no,4390,no,rosemberg,3094,private,no,
rog,390,no,no,39,no,bergelson,61,entire,no,
rog,391,yes,yes,0,no,dye,2914,private,no,good example of description
rog,392,no,no,86,no,needham,118,private,no,"spelling error in description; shared files, but private volume"
rog,393,yes,no,1415,no,moulson,474,private,no,error in age entry
rog,394,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,395,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,396,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,397,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,398,yes,no,0,no,petitto,286,private,no,
rog,399,yes,no,0,no,petitto,286,private,no,similar to an article abstract
rog,400,yes,yes,183,no,weisberg,562,entire,no,
kmj,401,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,402,yes,no,0,no,petitto,286,private,no,
kmj,403,yes,no,0,no,petitto,286,private,no,
kmj,404,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,405,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,406,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,407,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,408,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,409,yes,no,0,no,petitto,286,private,no,
kmj,410,yes,no,0,no,petitto,286,private,no,
kmj,411,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,412,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,413,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,414,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,415,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,416,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,417,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,418,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,419,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,420,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,421,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,422,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,423,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,424,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,425,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,426,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,427,yes,no,0,no,petitto,286,private,no,
kmj,428,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,429,yes,no,0,no,petitto,286,private,no,
kmj,430,yes,yes,44,no,adolph,5,private,no,DV Workshop Data
kmj,431,yes,no,47,no,jirout,1197,private,no,
kmj,432,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,433,yes,yes,577,no,scott,2653,entire,no,
kmj,434,yes,yes,434,no,"ossmy, adolph","1526, 5",entire,no,
kmj,435,no,no,454,no,scher,2679,private,no,
kmj,436,no,no,41,no,jaswal,1117,private,no,
kmj,437,yes,no,0,no,petitto,286,private,no,similar to an article abstract
kmj,438,no,no,77,no,jaswal,1117,private,no,
kmj,439,no,no,137,no,jaswal,1117,private,no,
kmj,440,no,no,32,no,jaswal,1117,private,no,
kmj,441,no,no,39,no,jaswal,1117,private,no,
kmj,442,no,no,546,no,raver,368,private,no,
kmj,443,yes,yes,19,no,adolph,5,entire,no,
kmj,444,no,yes,266,yes,adolph,5,private,no,"shared files, but private volume"
kmj,445,no,no,108,no,"soderstrom, klassen","518, 3126",entire,no,
kmj,446,yes,no,64,no,cristia,1034,private,no,
kmj,447,no,no,65,no,jaswal,1117,private,no,
kmj,448,no,no,585,no,reich,3110,private,no,error in age entry
